"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSMUSG00000027854",62.9105583190434,0.00157095482639399,0.18433012541814,0.00852250722897513,0.993200105379041,0.998080880518935,"Sike1"
"ENSMUSG00000027855",0.19108304649157,0.782697843081597,3.14975185020746,0.248495081614141,0.803751375068088,NA,"Sycp1"
"ENSMUSG00000027857",2.03181724767206,-2.1718035343616,1.03218469607299,-2.10408422312824,0.0353711008212124,NA,"Tshb"
"ENSMUSG00000027858",41.7633533575968,0.388214432251631,0.229581463663091,1.69096592580894,0.090843310684145,0.504756944877525,"Tspan2"
"ENSMUSG00000027859",4.00910136330196,0.788795899327367,0.693822657257951,1.13688403092046,0.255586768684725,0.707790885928221,"Ngf"
"ENSMUSG00000027860",27.1343134430788,0.204811033292553,0.394560599371507,0.519086380187973,0.603700505618565,0.899989996214874,"Vangl1"
"ENSMUSG00000027861",46.9803618527068,0.447652165020727,0.329512107694143,1.35853024689534,0.17429549162873,0.626280608978004,"Casq2"
"ENSMUSG00000027863",41.461234171243,-2.12433235916828,0.803425313769093,-2.64409438283995,0.00819098128051411,0.193339867629573,"Cd2"
"ENSMUSG00000027864",338.925326971696,0.256463896083221,0.129870954273356,1.97475946425565,0.0482954511676318,0.38817966673673,"Ptgfrn"
"ENSMUSG00000027865",219.239520295229,0.190580541904429,0.120130224750459,1.58644955755567,0.112637366131534,0.543801623186772,"Gdap2"
"ENSMUSG00000027867",2.42085264965371,1.05663063850927,1.01497593476722,1.04104009003092,0.297856942404899,NA,"Spag17"
"ENSMUSG00000027868",18.2216166691071,0.410458222556076,0.535492905313921,0.766505435427673,0.443375618954594,0.828016413459553,"Tbx15"
"ENSMUSG00000027869",0,NA,NA,NA,NA,NA,"Hsd3b6"
"ENSMUSG00000027870",0,NA,NA,NA,NA,NA,"Hao2"
"ENSMUSG00000027871",0,NA,NA,NA,NA,NA,"Hsd3b1"
"ENSMUSG00000027875",25.9447437636108,0.0508999268237995,0.477123121665433,0.106680905855347,0.915042131068849,0.985868845826131,"Hmgcs2"
"ENSMUSG00000027876",0,NA,NA,NA,NA,NA,"Reg4"
"ENSMUSG00000027878",145.749377526918,-0.120040414274794,0.211466373863174,-0.567657221721993,0.57026774421213,0.885560275022424,"Notch2"
"ENSMUSG00000027879",403.23090156942,-0.0961697675537732,0.154893673595181,-0.62087601979869,0.534681200273217,0.869332982304214,"Sec22b"
"ENSMUSG00000027880",0,NA,NA,NA,NA,NA,"Slc25a54"
"ENSMUSG00000027881",1842.43025373333,0.035727567293716,0.133638541954869,0.267344785202622,0.789203707580521,0.957032725846768,"Prpf38b"
"ENSMUSG00000027882",696.196098091579,-0.0913900290466843,0.0930690590995357,-0.981959309902815,0.326119894647607,0.758540223884399,"Stxbp3"
"ENSMUSG00000027883",173.06740835483,0.490949697688768,0.235324886453902,2.08626339987607,0.036954770079936,0.349272006678338,"Gpsm2"
"ENSMUSG00000027884",1269.30469890389,-0.0571865276890176,0.0917758217713055,-0.623111039327108,0.533211555809815,0.868542786854752,"Clcc1"
"ENSMUSG00000027886",0,NA,NA,NA,NA,NA,"1700013F07Rik"
"ENSMUSG00000027887",7.57564267074389,1.64015153913691,1.46041299593942,1.12307377686808,NA,NA,"Sypl2"
"ENSMUSG00000027889",408.124031068135,0.0191785453746248,0.138058871630245,0.138915704207619,0.889516761128887,0.980015903492886,"Ampd2"
"ENSMUSG00000027890",65.5146356675624,0.0158638759208331,0.217096785985009,0.0730728271671813,0.941748164615787,0.989016979472206,"Gstm4"
"ENSMUSG00000027893",1634.89846636223,0.135869744113927,0.0868238619471691,1.5648894332367,0.117608836758695,0.552816089548987,"Ahcyl1"
"ENSMUSG00000027894",1.59004601477684,0.214982770652484,1.94947420892324,0.110277309475782,0.912189451910727,NA,"Slc6a17"
"ENSMUSG00000027895",5.19654896481157,2.26241389170549,0.937590539411274,2.41300844729736,0.0158214528809791,0.262506585461485,"Kcnc4"
"ENSMUSG00000027896",63.7655044608403,0.270353370290538,0.211165308109398,1.28029254763039,0.200442267673534,0.655249930923544,"Slc16a4"
"ENSMUSG00000027900",521.064577696003,-0.0599815191393464,0.0851795031190026,-0.704177847287362,0.481322024951447,0.847353479451071,"Dram2"
"ENSMUSG00000027901",306.885044866398,-0.118680615978784,0.103817036901045,-1.14317090452028,0.25296763991595,0.705494835689401,"Dennd2d"
"ENSMUSG00000027902",6.39823550526518,-0.886301543717098,0.512528692650964,-1.72927205135162,0.0837604162701844,0.486620524284503,"Chil6"
"ENSMUSG00000027905",507.356913474169,-0.0948774161845122,0.126943380208485,-0.747399478639142,0.454822460008201,0.834096545127846,"Ddx20"
"ENSMUSG00000027907",137.176396168484,0.415385218888448,0.195258666677034,2.12735867737698,0.0333902927987765,0.338551466356395,"S100a11"
"ENSMUSG00000027908",0.172138706206645,0.782697843081597,3.14975185020746,0.248495081614141,0.803751375068088,NA,"Tchhl1"
"ENSMUSG00000027912",2.38218849625259,3.8321775953977,2.04571862966926,1.873267193161,0.0610314977496985,NA,"Lce1m"
"ENSMUSG00000027913",0.57324913947471,2.40561592214623,3.08947993705045,0.778647530057403,0.436187372391363,NA,"Crct1"
"ENSMUSG00000027919",0.19108304649157,0.782697843081597,3.14975185020746,0.248495081614141,0.803751375068088,NA,"Lce1g"
"ENSMUSG00000027923",1.07340121195469,3.31401998122123,3.06540530432939,1.08110336226688,0.279651137967704,NA,"Lce1b"
"ENSMUSG00000027925",0,NA,NA,NA,NA,NA,"Sprr2j-ps"
"ENSMUSG00000027927",0,NA,NA,NA,NA,NA,"Lelp1"
"ENSMUSG00000027931",352.125362560058,0.486178597622675,0.296328205067915,1.64067607911723,0.100864673009908,0.520855429069571,"Npr1"
