age,animal.id,MouseID,Sex,Genotype,values,assay,experiment.date
30,23301,9154,M,+/+,9200,Body Weight,2019-08-21
30,23301,9154,M,+/+,700,Total Fat Mass,2019-08-21
30,23301,9154,M,+/+,7490,Lean Mass,2019-08-21
37,23301,9154,M,+/+,12700,Body Weight,2019-08-28
37,23301,9154,M,+/+,930,Total Fat Mass,2019-08-28
37,23301,9154,M,+/+,10420,Lean Mass,2019-08-28
37,23301,9154,M,+/+,12700,Body Weight,2019-08-28
37,23301,9154,M,+/+,930,Total Fat Mass,2019-08-28
37,23301,9154,M,+/+,10420,Lean Mass,2019-08-28
44,23301,9154,M,+/+,16300,Body Weight,2019-09-04
44,23301,9154,M,+/+,1200,Total Fat Mass,2019-09-04
44,23301,9154,M,+/+,13300,Lean Mass,2019-09-04
51,23301,9154,M,+/+,18100,Body Weight,2019-09-11
51,23301,9154,M,+/+,1180,Total Fat Mass,2019-09-11
58,23301,9154,M,+/+,19300,Body Weight,2019-09-18
58,23301,9154,M,+/+,1140,Total Fat Mass,2019-09-18
58,23301,9154,M,+/+,15920,Lean Mass,2019-09-18
72,23301,9154,M,+/+,21700,Body Weight,2019-10-02
72,23301,9154,M,+/+,2150,Total Fat Mass,2019-10-02
72,23301,9154,M,+/+,17150,Lean Mass,2019-10-02
65,23301,9154,M,+/+,21700,Body Weight,2019-09-25
65,23301,9154,M,+/+,1410,Total Fat Mass,2019-09-25
65,23301,9154,M,+/+,17430,Lean Mass,2019-09-25
51,23301,9154,M,+/+,14990,Lean Mass,2019-09-11
79,23301,9154,M,+/+,22200,Body Weight,2019-10-09
79,23301,9154,M,+/+,2020,Total Fat Mass,2019-10-09
79,23301,9154,M,+/+,17360,Lean Mass,2019-10-09
79,23301,9154,M,+/+,"198,91,62,36,21",Plasma Glucose,2019-10-09
86,23301,9154,M,+/+,20000,Body Weight,2019-10-16
86,23301,9154,M,+/+,1640,Total Fat Mass,2019-10-16
86,23301,9154,M,+/+,16610,Lean Mass,2019-10-16
93,23301,9154,M,+/+,20100,Body Weight,2019-10-23
93,23301,9154,M,+/+,3400,Total Fat Mass,2019-10-23
93,23301,9154,M,+/+,15040,Lean Mass,2019-10-23
100,23301,9154,M,+/+,21100,Body Weight,2019-10-30
100,23301,9154,M,+/+,3260,Total Fat Mass,2019-10-30
100,23301,9154,M,+/+,15920,Lean Mass,2019-10-30
37,23303,9156,M,-/-,16800,Body Weight,2019-08-28
37,23303,9156,M,-/-,1680,Total Fat Mass,2019-08-28
23,23303,9156,M,-/-,470,Total Fat Mass,2019-08-14
23,23303,9156,M,-/-,7040,Lean Mass,2019-08-14
23,23303,9156,M,-/-,8400,Body Weight,2019-08-14
30,23303,9156,M,-/-,12600,Body Weight,2019-08-21
30,23303,9156,M,-/-,830,Total Fat Mass,2019-08-21
30,23303,9156,M,-/-,10620,Lean Mass,2019-08-21
37,23303,9156,M,-/-,16800,Body Weight,2019-08-28
37,23303,9156,M,-/-,1500,Total Fat Mass,2019-08-28
37,23303,9156,M,-/-,13800,Lean Mass,2019-08-28
37,23303,9156,M,-/-,16800,Body Weight,2019-08-28
37,23303,9156,M,-/-,1500,Total Fat Mass,2019-08-28
37,23303,9156,M,-/-,13800,Lean Mass,2019-08-28
44,23303,9156,M,-/-,18500,Body Weight,2019-09-04
44,23303,9156,M,-/-,1570,Total Fat Mass,2019-09-04
44,23303,9156,M,-/-,15260,Lean Mass,2019-09-04
51,23303,9156,M,-/-,21000,Body Weight,2019-09-11
51,23303,9156,M,-/-,1580,Total Fat Mass,2019-09-11
58,23303,9156,M,-/-,22400,Body Weight,2019-09-18
58,23303,9156,M,-/-,2020,Total Fat Mass,2019-09-18
58,23303,9156,M,-/-,18750,Lean Mass,2019-09-18
72,23303,9156,M,-/-,23600,Body Weight,2019-10-02
72,23303,9156,M,-/-,1000,Total Fat Mass,2019-10-02
65,23303,9156,M,-/-,23300,Body Weight,2019-09-25
65,23303,9156,M,-/-,2410,Total Fat Mass,2019-09-25
65,23303,9156,M,-/-,19530,Lean Mass,2019-09-25
51,23303,9156,M,-/-,17580,Lean Mass,2019-09-11
79,23303,9156,M,-/-,24200,Body Weight,2019-10-09
79,23303,9156,M,-/-,2610,Total Fat Mass,2019-10-09
79,23303,9156,M,-/-,19230,Lean Mass,2019-10-09
79,23303,9156,M,-/-,"235,86,71,60,54,48,46,50,61",Plasma Glucose,2019-10-09
86,23303,9156,M,-/-,26000,Body Weight,2019-10-16
86,23303,9156,M,-/-,3330,Total Fat Mass,2019-10-16
86,23303,9156,M,-/-,20470,Lean Mass,2019-10-16
93,23303,9156,M,-/-,26100,Body Weight,2019-10-23
93,23303,9156,M,-/-,3590,Total Fat Mass,2019-10-23
93,23303,9156,M,-/-,20670,Lean Mass,2019-10-23
100,23303,9156,M,-/-,26400,Body Weight,2019-10-30
100,23303,9156,M,-/-,3240,Total Fat Mass,2019-10-30
100,23303,9156,M,-/-,21270,Lean Mass,2019-10-30
37,23305,9158,F,+/+,16400,Body Weight,2019-08-28
37,23305,9158,F,+/+,1730,Total Fat Mass,2019-08-28
23,23305,9158,F,+/+,590,Total Fat Mass,2019-08-14
23,23305,9158,F,+/+,6850,Lean Mass,2019-08-14
23,23305,9158,F,+/+,8400,Body Weight,2019-08-14
30,23305,9158,F,+/+,12700,Body Weight,2019-08-21
30,23305,9158,F,+/+,1140,Total Fat Mass,2019-08-21
30,23305,9158,F,+/+,10340,Lean Mass,2019-08-21
37,23305,9158,F,+/+,16400,Body Weight,2019-08-28
37,23305,9158,F,+/+,1730,Total Fat Mass,2019-08-28
37,23305,9158,F,+/+,13230,Lean Mass,2019-08-28
37,23305,9158,F,+/+,16400,Body Weight,2019-08-28
37,23305,9158,F,+/+,1730,Total Fat Mass,2019-08-28
37,23305,9158,F,+/+,13230,Lean Mass,2019-08-28
44,23305,9158,F,+/+,17400,Body Weight,2019-09-04
44,23305,9158,F,+/+,1430,Total Fat Mass,2019-09-04
44,23305,9158,F,+/+,14540,Lean Mass,2019-09-04
51,23305,9158,F,+/+,18600,Body Weight,2019-09-11
51,23305,9158,F,+/+,1390,Total Fat Mass,2019-09-11
58,23305,9158,F,+/+,19600,Body Weight,2019-09-18
58,23305,9158,F,+/+,1530,Total Fat Mass,2019-09-18
58,23305,9158,F,+/+,16060,Lean Mass,2019-09-18
72,23305,9158,F,+/+,21400,Body Weight,2019-10-02
72,23305,9158,F,+/+,2630,Total Fat Mass,2019-10-02
72,23305,9158,F,+/+,17820,Lean Mass,2019-10-02
65,23305,9158,F,+/+,19700,Body Weight,2019-09-25
65,23305,9158,F,+/+,1510,Total Fat Mass,2019-09-25
65,23305,9158,F,+/+,16440,Lean Mass,2019-09-25
51,23305,9158,F,+/+,15340,Lean Mass,2019-09-11
79,23305,9158,F,+/+,20400,Body Weight,2019-10-09
79,23305,9158,F,+/+,2640,Total Fat Mass,2019-10-09
